# StainedGlass Shader Profiler
# Shader filter: DynamicShader
# Recorded: 4/25/2026 1:49:08 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
960,0.919,0.000,0
961,0.923,0.000,0
962,0.916,0.000,0
963,0.923,0.000,0
964,0.920,0.000,0
965,0.921,0.000,0
966,0.921,0.000,0
967,0.920,0.000,0
968,0.919,0.000,0
969,0.922,0.000,0
970,0.927,0.000,0
971,0.618,0.000,0
972,0.692,0.000,0
973,0.580,0.000,0
974,0.638,0.000,0
975,0.673,0.000,0
976,0.700,0.000,0
977,0.872,0.000,0
978,0.882,0.000,0
979,0.881,0.000,0
980,0.886,0.000,0
981,0.886,0.000,0
982,0.887,0.000,0
983,0.886,0.000,0
984,0.884,0.000,0
985,0.864,0.000,0
986,0.876,0.000,0
987,0.877,0.000,0
988,0.881,0.000,0
989,0.880,0.000,0
990,0.882,0.000,0
991,0.883,0.000,0
992,0.884,0.000,0
993,0.868,0.000,0
994,0.879,0.000,0
995,0.880,0.000,0
996,0.887,0.000,0
997,0.887,0.000,0
998,0.888,0.000,0
999,0.887,0.000,0
1000,0.886,0.000,0
1001,0.867,0.000,0
1002,0.880,0.000,0
1003,0.882,0.000,0
1004,0.887,0.000,0
1005,0.886,0.000,0
1006,0.888,0.000,0
1007,0.888,0.000,0
1008,0.888,0.000,0
1009,0.877,0.000,0
1010,0.879,0.000,0
1011,0.880,0.000,0
1012,0.887,0.000,0
1013,0.887,0.000,0
1014,0.889,0.000,0
1015,0.888,0.000,0
1016,0.887,0.000,0
1017,0.854,0.000,0
1018,0.870,0.000,0
1019,0.876,0.000,0
1020,0.881,0.000,0
1021,0.881,0.000,0
1022,0.884,0.000,0
1023,0.885,0.000,0
1024,0.886,0.000,0
1025,0.868,0.000,0
1026,0.875,0.000,0
1027,0.583,0.000,0
1028,0.664,0.000,0
1029,0.558,0.000,0
1030,0.612,0.000,0
1031,0.649,0.000,0
1032,0.677,0.000,0
1033,0.889,0.000,0
1034,0.874,0.000,0
1035,0.880,0.000,0
1036,0.880,0.000,0
1037,0.882,0.000,0
1038,0.881,0.000,0
1039,0.882,0.000,0
1040,0.882,0.000,0
1041,0.884,0.000,0
1042,0.877,0.000,0
1043,0.883,0.000,0
1044,0.881,0.000,0
1045,0.883,0.000,0
1046,0.883,0.000,0
1047,0.880,0.000,0
1048,0.879,0.000,0
1049,0.881,0.000,0
1050,0.870,0.000,0
1051,0.876,0.000,0
1052,0.877,0.000,0
1053,0.877,0.000,0
1054,0.877,0.000,0
1055,0.878,0.000,0
1056,0.878,0.000,0
1057,0.885,0.000,0
1058,0.875,0.000,0
1059,0.882,0.000,0
1060,0.880,0.000,0
1061,0.882,0.000,0
1062,0.882,0.000,0
1063,0.880,0.000,0
1064,0.879,0.000,0
1065,0.881,0.000,0
1066,0.872,0.000,0
1067,0.879,0.000,0
1068,0.879,0.000,0
1069,0.881,0.000,0
1070,0.879,0.000,0
1071,0.880,0.000,0
1072,0.881,0.000,0
1073,0.881,0.000,0
1074,0.873,0.000,0
1075,0.881,0.000,0
1076,0.880,0.000,0
1077,0.881,0.000,0
1078,0.882,0.000,0
1079,0.880,0.000,0
1080,0.879,0.000,0
1081,0.883,0.000,0
1082,0.870,0.000,0
1083,0.877,0.000,0
1084,0.878,0.000,0
1085,0.729,0.000,0
1086,0.756,0.000,0
1087,0.774,0.000,0
1088,0.788,0.000,0
1089,0.850,0.000,0
1090,0.866,0.000,0
1091,0.869,0.000,0
1092,0.875,0.000,0
1093,0.876,0.000,0
1094,0.878,0.000,0
1095,1.115,0.000,0
1096,0.975,0.000,0
1097,2.954,0.000,0
1098,1.892,0.000,0
1099,2.197,0.000,0
1100,1.877,0.000,0
1101,1.678,0.000,0
1102,1.551,0.000,0
1103,1.456,0.000,0
1104,1.389,0.000,0
1105,0.901,0.000,0
1106,0.451,0.000,0
1107,0.592,0.000,0
1108,0.479,0.000,0
1109,0.570,0.000,0
1110,0.625,0.000,0
1111,0.664,0.000,0
1112,0.693,0.000,0
1113,0.911,0.000,0
1114,0.903,0.000,0
1115,0.903,0.000,0
1116,0.900,0.000,0
1117,0.895,0.000,0
1118,0.895,0.000,0
1119,1.127,0.000,0
1120,1.096,0.000,0
1121,2.385,0.000,0
1122,1.669,0.000,0
1123,2.173,0.000,0
1124,1.858,0.000,0
1125,1.665,0.000,0
1126,1.544,0.000,0
1127,1.451,0.000,0
1128,1.384,0.000,0
1129,0.889,0.000,0
1130,0.902,0.000,0
1131,0.601,0.000,0
1132,0.677,0.000,0
1133,0.570,0.000,0
1134,0.621,0.000,0
1135,0.656,0.000,0
1136,0.687,0.000,0
1137,0.919,0.000,0
1138,0.898,0.000,0
1139,0.900,0.000,0
1140,0.899,0.000,0
1141,0.902,0.000,0
1142,0.905,0.000,0
1143,0.905,0.000,0
1144,0.903,0.000,0
1145,0.909,0.000,0
1146,0.903,0.000,0
1147,0.911,0.000,0
1148,0.914,0.000,0
1149,0.917,0.000,0
1150,0.910,0.000,0
1151,0.908,0.000,0
1152,0.907,0.000,0
1154,0.452,0.000,0
1155,0.613,0.000,0
1156,0.697,0.000,0
1157,0.739,0.000,0
1158,0.766,0.000,0
1159,0.780,0.000,0
1160,0.793,0.000,0
1161,0.878,0.000,0
1162,0.875,0.000,0
1163,0.884,0.000,0
1164,0.883,0.000,0
1165,0.883,0.000,0
1166,0.882,0.000,0
1167,0.880,0.000,0
1168,0.877,0.000,0
1169,0.893,0.000,0
1170,0.879,0.000,0
1171,0.882,0.000,0
1172,0.880,0.000,0
1173,0.880,0.000,0
1174,0.878,0.000,0
1175,0.878,0.000,0
1176,0.875,0.000,0
